date,country,points
2015-10-08,Brazil,3.8235693684531356
2015-10-08,Iran,51.03391873815164
2015-10-08,Japan,44.72622656964324
2015-10-13,Brazil,15.27563351171747
2015-11-12,Iran,61.93308259119305
2015-11-12,Japan,54.953802433078486
2015-11-13,Brazil,11.938262834204762
2015-11-17,Japan,64.53209012984193
2015-11-17,Brazil,21.823704398449507
2015-11-17,Iran,72.56832350762129
2016-03-24,Japan,74.51553804029028
2016-03-24,Iran,82.02230775752315
2016-03-25,Brazil,21.544391692545734
2016-03-29,Iran,93.37390194858779
2016-03-29,Japan,85.92927595504963
2016-03-29,Brazil,18.465101799991828
2016-09-01,Brazil,30.725802561959625
2016-09-01,Japan,71.36256165915962
2016-09-01,Iran,104.72309069825492
2016-09-04,Germany,268.94141563505804
2016-09-05,Spain,94.32639135252697
2016-09-06,Brazil,41.3151724674657
2016-09-06,France,44.479945486961995
2016-09-06,Belgium,149.02523422756548
2016-09-06,Iran,103.39950315807118
2016-09-06,Switzerland,74.61721892963865
2016-09-06,Portugal,59.74924034593552
2016-09-06,Netherlands,234.78584465781944
2016-09-06,Japan,81.99144275864865
2016-10-06,Brazil,48.80562346370165
2016-10-06,Spain,92.99671656311953
2016-10-06,Japan,92.53507000270052
2016-10-06,Iran,114.52585923009481
2016-10-07,Belgium,159.35732779353086
2016-10-07,France,56.01469662572145
2016-10-07,Portugal,67.34927861448689
2016-10-07,Switzerland,85.60594347840652
2016-10-07,Netherlands,240.6355972687717
2016-10-08,Germany,275.59142837577923
2016-10-09,Spain,103.09989966828046
2016-10-10,Switzerland,92.35744284780966
2016-10-10,Portugal,75.53631758951798
2016-10-10,Belgium,167.53654272555988
2016-10-10,Netherlands,223.88380738851177
2016-10-10,France,64.26290674546152
2016-10-11,Japan,92.05129147331972
2016-10-11,Iran,126.19559538353397
2016-10-11,Germany,281.2020881275515
2016-10-11,Brazil,57.00377624894861
2016-11-10,Brazil,67.10450755623594
2016-11-11,France,75.9922696413032
2016-11-11,Germany,284.7725797563484
2016-11-12,Spain,110.71841321308804
2016-11-13,Switzerland,99.68640922685918
2016-11-13,Netherlands,229.5041963070711
2016-11-13,Portugal,84.5254725250525
2016-11-13,Belgium,174.2134427643952
2016-11-15,Japan,104.29761780138303
2016-11-15,Iran,123.15932683336403
2016-11-15,Brazil,75.32792594608327
2017-03-23,Brazil,87.02456429617087
2017-03-23,Iran,133.09623754410856
2017-03-23,Japan,114.45897591850549
2017-03-24,Spain,121.18579319898286
2017-03-25,Netherlands,211.5991612034538
2017-03-25,Belgium,172.41601502028763
2017-03-25,Switzerland,107.80875914146228
2017-03-25,France,84.04203938857425
2017-03-25,Portugal,95.39878256254046
2017-03-26,Germany,290.6359343516863
2017-03-28,Iran,143.15925707565688
2017-03-28,Japan,122.79362978656333
2017-03-28,Brazil,94.22412367127079
2017-06-09,Belgium,178.6615585475888
2017-06-09,Switzerland,114.47263226074737
2017-06-09,France,70.21120363357538
2017-06-09,Portugal,103.25846759204342
2017-06-09,Netherlands,216.82774206880077
2017-06-10,Germany,293.67840501568224
2017-06-11,Spain,128.3234709093191
2017-06-12,Iran,155.48230825820184
2017-06-13,Japan,119.1746569569271
2017-08-31,Netherlands,200.90103716553008
2017-08-31,France,79.28449873030469
2017-08-31,Belgium,185.25624654761623
2017-08-31,Brazil,103.8373327816573
2017-08-31,Japan,130.9634434271386
2017-08-31,Portugal,109.6669759764741
2017-08-31,Switzerland,120.18781198438033
2017-08-31,Iran,153.2043479733368
2017-09-01,Germany,299.8684567148159
2017-09-02,Spain,139.4702912197759
2017-09-03,France,74.2492601016568
2017-09-03,Portugal,119.45491615323553
2017-09-03,Switzerland,126.91860228167178
2017-09-03,Belgium,195.51792441747997
2017-09-03,Netherlands,208.62562757297846
2017-09-04,Germany,304.98833088363097
2017-09-05,Brazil,103.6846594223341
2017-09-05,Iran,149.6501038185159
2017-09-05,Spain,144.42531604464025
2017-09-05,Japan,117.25112756629085
2017-10-05,Brazil,96.66880287540366
2017-10-05,Germany,310.71891079253794
2017-10-06,Spain,152.81092470721774
2017-10-07,France,84.37152744687826
2017-10-07,Portugal,124.56114752388136
2017-10-07,Netherlands,213.77445640283892
2017-10-07,Belgium,204.66286640763178
2017-10-07,Switzerland,135.97537375315392
2017-10-08,Germany,315.38069345246737
2017-10-09,Spain,161.19262390704841
2017-10-10,Brazil,107.06148687387329
2017-10-10,France,91.34951843380004
2017-10-10,Belgium,209.99338828176062
2017-10-10,Netherlands,222.31515374115043
2017-10-10,Switzerland,123.20164432067558
2017-10-10,Portugal,136.78741809140303
2017-11-09,Switzerland,131.83140645342405
2017-11-12,Switzerland,127.42735796393757
2018-06-15,Portugal,135.61754265459933
2018-06-15,Spain,160.02274847024472
2018-06-15,Iran,169.40367878761256
2018-06-16,France,116.17342290799937
2018-06-17,Germany,281.6404038973708
2018-06-17,Brazil,106.08502240182642
2018-06-17,Switzerland,126.4508934918907
2018-06-18,Belgium,225.48482004505627
2018-06-19,Japan,140.20234160095288
2018-06-20,Iran,143.95371925254915
2018-06-20,Spain,184.5727889351813
2018-06-20,Portugal,154.63264354974763
2018-06-21,France,129.56414661468807
2018-06-22,Brazil,129.53223277061414
2018-06-22,Switzerland,147.84851769717903
2018-06-23,Germany,296.6580975570852
2018-06-23,Belgium,243.29510657081664
2018-06-24,Japan,138.45268633207468
2018-06-25,Spain,175.12707699265843
2018-06-25,Iran,143.4415173569419
2018-06-25,Portugal,154.12044165414036
2018-06-26,France,126.82300945163547
2018-06-27,Switzerland,143.0758414362994
2018-06-27,Germany,258.78042517035885
2018-06-27,Brazil,149.45625481731946
2018-06-28,Belgium,263.02365820524227
2018-06-28,Japan,107.58875811615762
2018-06-30,France,151.81812363218967
2018-06-30,Portugal,126.06013162752242
2018-07-01,Spain,169.00823823026124
2018-07-02,Japan,75.34596065708169
2018-07-02,Brazil,173.51511826606543
2018-07-02,Belgium,280.78086074616635
2018-07-03,Switzerland,113.42506876853707
2018-07-06,Brazil,137.4261471206868
2018-07-06,Belgium,304.69188960078776
2018-07-06,France,179.52719264674775
2018-07-10,France,202.45754178674653
2018-07-10,Belgium,267.62223874078654
2018-07-14,Belgium,288.19002791963334
2018-07-15,France,228.82306032105726
2019-09-10,Japan,85.7473292845576
2019-09-10,Iran,152.3940738254421
2019-10-10,Japan,96.60314577125487
2019-10-10,Iran,159.41028848036507
2019-10-15,Japan,104.87035884834607
2019-10-15,Iran,142.87403645252397
2019-11-14,Japan,114.93910364263654
2019-11-14,Iran,127.23770305457619
